publishedAt,title,trade_day,sentiment_score
2024-12-04 14:10:00+00:00,"Apple's ecosystem is a 'prison yard' and 'panopticon' for employees, lawsuit claims In This Story
A current Apple (AAPL0.00%
) employee is suing the company for illegally limiting worker freedoms through its required intellectual property agreement.
The lawsuit, filed Monday in C A current Apple (AAPL) employee is suing the company for illegally limiting worker freedoms through its required intellectual property agreement.Read more...",2024-12-04,0.5994
2024-12-04 18:35:00+00:00,"Donald Trump just picked who will take over Google, Apple, Visa monopoly cases In This Story
President-elect Donald Trump nominated Gail Slater to lead the antitrust division of the Department of Justice.
In an announcement posted on Truth Social Wednesday, Trump said that th President-elect Donald Trump nominated Gail Slater to lead the antitrust division of the Department of Justice.Read more...",2024-12-05,0.6908
2024-12-04 21:05:45+00:00,"Stock market today: Nasdaq, Dow, S&P 500 hit records as tech surges, Fed's Powell says economy in 'remarkably good shape' A tech rally boosted US stocks on Wednesday, with all three major indexes hitting new record closes, as investors digested Federal Reserve Chair Jerome Powell's comments that US economy is in ""remark Fed Chair Jerome Powell's speech looms large as investors calculate the odds of a December rate cut.",2024-12-05,0.4576
2024-12-05 09:05:21+00:00,"TSMC in talks with Nvidia for AI chip production in Arizona, sources say​ TAIPEI/SINGAPORE (Reuters) - Taiwan Semiconductor Manufacturing Co (TSM, 2330.TW) is in discussions with Nvidia Corp (NVDA) to produce its Blackwell artificial intelligence chips at the contract manu Taiwan Semiconductor Manufacturing Co is in discussions with Nvidia Corp to produce its Blackwell artificial intelligence chips at the contract...",2024-12-05,0.7351
2024-12-05 14:15:49+00:00,"Is Amazon Stock A Buy? Shares Hit All-Time High On AI Push, Record Cyber Monday Amazon (AMZN) stock is at record highs after the tech giant gave detailed look at the AI push from its cloud business and announced a record start to online shopping. Amazon stock is ahead more than  Amazon stock hit a new all-time high following its re:Invent cloud conference and a record Cyber Monday and Black Friday.",2024-12-05,0.7414
2024-12-05 14:16:22+00:00,"Dow Jones Futures Fall After Jobless Claims; Nvidia Tries To Extend Win Streak The Dow Jones Industrial Average and other major indexes traded mixed Thursday, as investors reacted to a U.S. Labor Department unemployment report. One stock on the negative side was Nvidia (NVDA),  Key earnings movers include Five Below and SentinelOne.",2024-12-05,-0.2732
2024-12-05 16:09:00+00:00,"Processing JDBC ResultSet with Stream API Java’s Stream API, introduced in Java 8, is an incredibly powerful tool for handling collections of data in a functional style. However, when working with JDBC, which relies on ResultSet to retrieve  Java’s Stream API, introduced in Java 8, is an incredibly powerful tool for handling collections of data in a functional style. However, when working with JDBC, which relies on ResultSet to retrieve database query results, directly integrating the Stream API …",2024-12-06,0.734
2024-12-05 19:27:43+00:00,"5 Top Stocks To Buy In December 2024 getty
Many investors use this time of year to refresh their portfolios. Despite recent market volatility, several established companies present compelling investment opportunities, combining robust  Looking for the latest stock opportunities in December 2024? We have you covered. Click to read our top stock picks to consider adding to your portfolio now.",2024-12-06,0.8779
2024-12-06 01:32:28+00:00,"Apple Inc. (AAPL) Leverages AWS AI Chips for Apple Intelligence Pretraining, Highlights Collaboration at AWS re:Invent We recently compiled a list of the 10 AI News Investors Should Not Miss. In this article, we are going to take a look at where Apple Inc. (NASDAQ:AAPL) stands against the other AI stocks investors sh We recently compiled a list of the 10 AI News Investors Should Not Miss. In this article, we are going to take a look at where Apple Inc. (NASDAQ:AAPL...",2024-12-06,0.6108
2024-12-06 10:00:00+00:00,"McDonald's E. coli closure, Cyber Monday beats Black Friday, and Chipotle raises prices: Retail news roundup McDonalds has officially resolved the E. coli outbreak linked to its restaurants, according to an update from the Centers for Disease Control (CDC) and Prevention. Black Friday officially went digita McDonald’s has officially resolved the E. coli outbreak linked to its restaurants, according to an update from the Centers for Disease Control (CDC) and Prevention. Black Friday officially went digital as shoppers embraced the convenience of online shopping. …",2024-12-06,0.34
2024-12-06 12:00:52+00:00,"Best Mutual Fund Races To Top With Some Offbeat Stock Picks Research is the X factor that powers Janus Henderson Global Research Fund (JANWX) to benchmark-beating returns and into a best mutual fund.
XNOW PLAYINGIBD's Best Mutual Funds Of 2024Sure, co-manage Research is the X factor that powers Janus Henderson Global Research Fund to benchmark-beating returns and into a best mutual fund.",2024-12-06,0.9618
2024-12-06 14:31:07+00:00,"Stock market today: Nasdaq, S&P 500 pop to strong weekly gains after jobs report boosts Fed rate cut odds US stocks mostly rose on Friday as investors digested the last monthly jobs report of the year, a crucial test of the prospects for interest rate cuts in December and beyond.
The Dow Jones Industria The last nonfarm payrolls report of 2025 gives a gut check on the labor market and economy ahead of the Fed's December policy decision.",2024-12-06,0.836
2024-12-06 16:15:03+00:00,"Today in Apple history: Lousy quarter proves Steve Jobs isn’t invincible December 6, 2000: Apple Computers stock price falls after the company posts its first quarterly loss since Steve Jobs return to Cupertino in 1997.
Shares tumble $3 to just $14 a share as doom-predic On December 6, 2000, Apple Computer's stock price fell dramatically after lousy quarterly results. However, the best was yet to come in 2001.
(via Cult of Mac - Apple news, rumors, reviews and how-tos)",2024-12-09,0.3612
2024-12-06 17:22:14+00:00,"8 Stocks Drive 50% Of The Year's $11.8 Trillion Stock Gain You already know about the Magnificent Seven stocks driving the S&amp;P 500. But what about the Elite Eight?
Eight stocks in the S&amp;P 500 including of course Nvidia (NVDA) and Amazon.com (AMZN) b You already know about the Magnificent Seven stocks driving the S&P 500. But what about the elite eight doing most of the work?",2024-12-09,0.885
2024-12-06 21:55:39+00:00,"Walmart Stock, Costco Roar As They Create Amazon-Like Businesses Even as artificial intelligence and data center computing drive a historic stock market rally, the top U.S. grocer Walmart (WMT) and club membership retailer Costco (COST) have outrun many of the top The traditional retailers have outrun many Big Tech stocks amid e-commerce shift in a complex consumer environment.",2024-12-09,0.7783
2024-12-07 00:10:38+00:00,"Dow Jones Futures: Nasdaq Runs Toward 20,000 But These Risks Are Mounting Dow Jones futures will open Sunday evening, along with S&amp;P 500 futures and Nasdaq futures.
The stock market rally had a mixed week, but all the major indexes hit fresh highs at one point amid ge The index is starting to look stretched. Four tech titans are flashing buy signals.",2024-12-09,0.1768
2024-12-07 06:07:28+00:00,Why Is Apple Inc. (AAPL) Among the Best Tech Stocks for Long Term Investment?  ,2024-12-09,0.6369
2024-12-07 12:34:39+00:00,"Jobs Report: Implications For The Markets And The Fed Job growth bounced back after the hurricanes and strike impacted October data, but not enough to ... [+] relieve all worry about a softening labor market.
getty
The November jobs report on Friday w The solid jobs report had enough cracks to cause the Fed to want some insurance against economic downside risks by cutting rates. The coming CPI report is significant.",2024-12-09,-0.4939
2024-12-07 13:35:00+00:00,"Thank Wealth Managers For These 8%+ Dividends Two businessman consult analyzing company financial cash flow result. Concept for teamwork business ... [+] corporate meeting and economy fund.
getty
I know that plenty of our readers are self-dire While many wealth managers can help their clients, the reality is that wealth managers face intense competition, and that can provide a temptation to cut corners.",2024-12-09,0.9186
2024-12-07 13:41:33+00:00,"Dow Jones Stocks: Apple Above Buy Point, Nvidia Reverses Lower With the Dow Jones Industrial Average looking to end the year with solid gains, the best Dow Jones stocks to watch in December 2024 are Apple (AAPL), Nvidia (NVDA), Salesforce (CRM), Sherwin-Williams Apple and Nvidia are among the best Dow Jones stocks in December 2024.",2024-12-09,0.8807
2024-12-07 14:00:00+00:00,"Intel ousts its CEO, Mark Zuckerberg eyes Trump, and Elon Musk loses again: Tech news roundup A current Apple (AAPL) employee is suing the company for illegally limiting worker freedoms through its required intellectual property agreement.
The lawsuit, filed Monday in California Superior Cou Elon Musk’s SpaceX is eyeing a tender offer that would value the aerospace company at $350 billionRead more...",2024-12-09,0.8519
2024-12-07 18:11:28+00:00,"While Equities Set Records, Employment Trends, Retail Sales Expectations And Rising Delinquencies Advise Caution Financial markets waited all week for the jobs data, and that data did not disappoint. Like in the Goldilocks tale, the jobs numbers werent too hot, nor too cold. They were just right! As a result, t Financial markets waited all week for the jobs data, and that data did not disappoint. As a result, the S&P 500 and the Nasdaq both closed a record high on Friday.",2024-12-09,0.4015
2024-12-07 18:27:35+00:00,Is Apple Inc. (AAPL) Dominating A Billionaire Quant’s Investment Strategy Right Now?  ,2024-12-09,-0.296
2024-12-07 20:21:55+00:00,"5 Stock Buys And Sells From Top Billionaire Investors Warren Buffett takes a slice of Dominos. Ken Griffin, David Tepper and Steve Cohen are shedding Amazon shares. Heres what SEC filings reveal about recent moves of the worlds richest and most successf Warren Buffett takes a slice of Domino’s. Ken Griffin, David Tepper and Steve Cohen are shedding  Amazon shares. Here’s what SEC filings reveal about the recent moves of the world’s richest and most successful investors.",2024-12-09,0.9552
2024-12-08 13:30:19+00:00,"Why Apple has little to do with these 2 rocking telecom stocks This is The Takeaway from today's Morning Brief, which you can sign up to receive in your inbox every morning along with:
<ul> Go figure, two of America's largest telecom stocks have been rocking.",2024-12-09,0.0
2024-12-08 13:30:19+00:00,"Why Apple has little to do with these 2 rocking telecom stocks This is The Takeaway from today's Morning Brief, which you can sign up to receive in your inbox every morning along with:
<ul><li>The chart of the day
</li><li>What we're watching
</li><li>What we Go figure, two of America's largest telecom stocks have been rocking.",2024-12-09,0.0
2024-12-08 16:08:11+00:00,"Apple Inc. (AAPL) to Launch In-House Modem and AI-Powered iPhone SE in 2024, Reducing Reliance on Qualcomm We recently compiled a list of the 10 AI News Taking Wall Street by Storm. In this article, we are going to take a look at where Apple Inc. (NASDAQ:AAPL) stands against the other AI stocks that are t We recently compiled a list of the 10 AI News Taking Wall Street by Storm. In this article, we are going to take a look at where Apple Inc. (NASDAQ:AAPL...",2024-12-09,0.0
2024-12-09 01:09:35+00:00,"How Networks Of Competence Are Crushing Hierarchies Of Authority Hierarchies of authority vs networks of competence
Stephen Denning
Around 2016, Amazon created a team to build an app for all its drivers that would integrate all of the information about delivery  Firms run as networks of competence tend to grow faster and have higher staff engagement then firms run as hierarchies of authority",2024-12-09,0.6249
2024-12-09 12:37:38+00:00,"Dow Jones Futures: Techs Fall As China Probes Nvidia; Beware These Risks Dow Jones futures were flat Monday morning, while S&amp;P 500 futures and Nasdaq futures fell slightly.
The stock market rally had a mixed week, but all the major indexes hit fresh highs at one poin The Nasdaq is getting stretched. Nvidia fell on a China monopoly probe.",2024-12-09,0.4206
2024-12-09 13:09:16+00:00,"Apple Inc. (AAPL) Faces Setbacks in China as AI Integration Struggles with Baidu, Impacting iPhone 16 Sales  ",2024-12-09,-0.3612
2024-12-09 13:24:00+00:00,"Apple, Nvidia, and Microsoft are America's best-managed companies right now, report says In This Story
Apple (AAPL-0.08%
) is the best-managed company in the U.S., according to a new ranking by The Wall Street Journal.
Of 250 companies, Nvidia (NVDA-1.81%
) came in second, followed b Apple (AAPL) is the best-managed company in the U.S., according to a new ranking by The Wall Street Journal.Read more...",2024-12-09,0.0
2024-12-10 03:13:52+00:00,"Apple Inc. (AAPL) Delays Smart Display HomePod Launch to 2025, Set to Feature Apple Intelligence Integration  ",2024-12-10,0.7003
2024-12-10 09:00:00+00:00,"Salesforce vs. Oracle Stock The Salesforce logo appears on the screen of a smartphone in Reno, United States, on November 29, ... [+] 2024. (Photo by Jaque Silva/NurPhoto via Getty Images)
NurPhoto via Getty Images
Given its  Given its better valuation, we believe that Salesforce stock (NYSE: CRM) is currently a better pick over its peer, Oracle stock.",2024-12-10,0.8225
2024-12-10 12:00:03+00:00,"How to play the Mag 7 stocks in 2025: Portfolio manager The ""Magnificent Seven"" made up of Nvidia (NVDA), Alphabet (GOOG, GOOGL), Tesla (TSLA), Microsoft (MSFT), Amazon (AMZN), Meta Platforms (META), and Apple (AAPL) drove major indexes (^DJI, ^IXIC, ^GSP The ""Magnificent Seven"" — made up of Nvidia (NVDA), Alphabet (GOOG, GOOGL), Tesla (TSLA), Microsoft (MSFT), Amazon (AMZN), Meta Platforms (META), and Apple (...",2024-12-10,0.9118
2024-12-10 12:46:45+00:00,"5 Things to Know Before the Stock Market Opens Michael Nagle / Bloomberg via Getty Images
U.S. stock futures are little changed after markets stepped back from record highs on tech sector jitters; GameStop (GME) reports earnings after markets cl News of the day for Dec. 10, 2024",2024-12-10,0.0
2024-12-10 15:59:22+00:00,"Nvidia Rebounds From Key Level After China Probe Scare, Buy Point Still In Play; Is Nvidia A Buy Now? Nvidia (NVDA) rattled investors Monday after news of an antimonopoly probe by Chinese regulators. But the stock found support at the 50 day moving average and is rebounding on Tuesday. That means tha Nvidia stock rebounded from the 50-day moving average after falling over 2% amid news of a China probe on Monday.",2024-12-10,0.3071
2024-12-10 21:10:43+00:00,"Amazon Stock Gets Price Target Hike On Generative AI Momentum Amazon (AMZN) stock pushed higher Tuesday before fading in afternoon trading. The tech giant is looking to build off a rally that started with its AI-focused cloud conference last week, with analysts An Amazon stock analyst upped his target for AMZN shares following the company's generative-AI-focused cloud conference.",2024-12-11,0.6486
2024-12-10 21:18:29+00:00,Dow Jones Falls As Nvidia Breaks Key Level On Taiwan Semi Report (Live Coverage) The Dow Jones Industrial Average and other major indexes fell to close Tuesday's trading session. Nvidia (NVDA) fell after investors were disappointed by a sales report from chip supplier Taiwan Semi Dow Jones fell in the stock market today. Nvidia rose from a key level of support. Tesla got a boost from an analyst upgrade.,2024-12-11,0.3182
2024-12-11 05:29:07+00:00,"DBS Analyst Downgrades Apple Inc. (AAPL) to ‘Hold’ with $243 Price Target, Citing Valuation and Short-Term Challenges  ",2024-12-11,0.0772
2024-12-11 05:29:07+00:00,"DBS Analyst Downgrades Apple Inc. (AAPL) to ‘Hold’ with $243 Price Target, Citing Valuation and Short-Term Challenges  We recently compiled a list of the 10 AI Stocks Taking Wall Street by Storm. In this article, we are going to take a look at where Apple Inc. (NASDAQ:AAPL) stands against the other AI stocks. Wall Street’s major indexes closed lower on Monday, December 9th, d…",2024-12-11,-0.2878
2024-12-11 13:35:00+00:00,"Apple users can now access ChatGPT through Siri In This Story
Apple (AAPL+0.36%
) unveiled a slate of new artificial intelligence features on its newest devices, including access to OpenAIs popular chatbot, ChatGPT.
Apple has integrated ChatGPT Apple (AAPL) unveiled a slate of new artificial intelligence features on its newest devices, including access to OpenAI’s popular chatbot, ChatGPT.Read more...",2024-12-11,0.8957
2024-12-11 15:55:57+00:00,"Why Is Apple Inc. (AAPL) Among Halvorsen’s Top Stock Picks Right Now? Ole Andreas Halvorsen is the founder and CEO of Viking Global, a hedge fund firm. He is known for his balanced approach to investing, combining strategic risk with disciplined analysis, and his philo We recently compiled a list of Norwegian Billionaire Halvorsen’s Top 10 Stock Picks. In this article, we are going to take a look at where Apple Inc...",2024-12-11,0.128
2024-12-11 15:59:26+00:00,"Apple adds ChatGPT to iPhones with latest Apple Intelligence update Apple has released its latest Apple Intelligence update, which brings ChatGPT to iPhones, iPads, and Macs, along with new features like visual intelligence, Image Playground, and Genmoji. The update  Apple released the second major update for its Apple Intelligence platform on Wednesday.",2024-12-11,0.9313
2024-12-11 16:25:29+00:00,"China's top smartphone player is still years behind the U.S. In This Story
Despite its comeback to compete with Apple in the Chinese smartphone market, Huaweis latest smartphone shows it is still years behind, researchers found.
In November, the Chinese tech Despite its comeback to compete with Apple in the Chinese smartphone market, Huawei’s latest smartphone shows it is still years behind, researchers found.Read more...",2024-12-12,0.2023
2024-12-11 16:34:59+00:00,Will Apple Intelligence Kickstart A New Era Of Growth For Apple (AAPL)?  ,2024-12-12,0.6908
2024-12-11 16:50:24+00:00,"Bitcoin Crosses Above $101K as XRP, AI Tokens Lead Crypto Rally Following CPI The crypto market is in recovery mode on Wednesday following a cascade of selling earlier in the week that for now appears to have flushed out much of the long leverage.
The move higher comes alongs Wednesday morning's in line U.S. inflation data seemingly cleared the way for a Fed rate cut next week.",2024-12-12,-0.1779
2024-12-11 17:32:06+00:00,"Stock market today: Nasdaq tops 20,000 for first time as Big Tech surge leads stocks higher US stocks rallied on Wednesday, led by Big Tech, as investors digested another month of sticky inflation data that met economists' expectations and likely pointed to a Federal Reserve interest rate c The CPI report sets the stage for the Federal Reserve's final interest rate decision of the year.",2024-12-12,0.8519
2024-12-11 18:53:53+00:00,"Big Tech hopes Trump's new FTC boss will be friendlier. Not everyone is so sure. Donald Trumps pick to run the Federal Trade Commission set off a fresh round of questions about what it could mean for the antitrust crackdown on Big Tech.
The short answer: It may be complicated.
 Donald Trump’s pick to run the Federal Trade Commission set off a fresh round of questions about what it could mean for the antitrust crackdown on Big Tech.",2024-12-12,0.908
2024-12-11 18:56:49+00:00,Jim Cramer Says ‘Just Own’ Apple (AAPL) Stock Amid Elongated iPhone Upgrade Cycle  ,2024-12-12,0.0
2024-12-12 11:00:53+00:00,"What Cruise's self-driving end means for Tesla and Waymo: Morning Brief This is The Takeaway from today's Morning Brief, which you can sign up to receive in your inbox every morning along with:
<ul><li>The chart of the day
</li><li>What we're watching
</li><li>What we Cruise's demise pokes another hole in the commercial fantasy of a robotaxi fleet.",2024-12-12,0.0
2024-12-12 11:00:53+00:00,"What Cruise's self-driving end means for Tesla and Waymo: Morning Brief This is The Takeaway from today's Morning Brief, which you can sign up to receive in your inbox every morning along with:
<ul> Cruise's demise pokes another hole in the commercial fantasy of a robotaxi fleet.",2024-12-12,0.0
2024-12-12 11:48:06+00:00,"Dow Jones Futures Fall After Tesla, Titans Push Nasdaq Above 20,000; What To Do Now Dow Jones futures fell slightly early Thursday, along with S&amp;P 500 futures and Nasdaq futures.
The stock market rally marched higher Wednesday, with the Nasdaq clearing the 20,000 level for the  Keep an eye on the Nasdaq and sentiment. Adobe tumbled late on guidance.",2024-12-12,0.0
2024-12-12 16:25:00+00:00,"United Airlines will let passengers share AirTag locations to find lost baggage In This Story
United Airlines (UAL-0.80%
) is rolling out a new update to its app that could help passengers track down their bags after landing. The company announced Thursday that its customers w United Airlines (UAL) is rolling out a new update to its app that could help passengers track down their bags after landing. The company announced Thursday that its customers will be able to share the location of Apple (AAPL) AirTags with the United app.Read …",2024-12-13,0.9493
2024-12-12 16:29:04+00:00,"Three Signs This Growth Stock Is Set To Extend 115% Run After Trouncing Apple, S&P 500 On Holding (ONON) has more than doubled this year, outperforming megacaps like Apple (AAPL) or even larger indexes like the S&amp;P 500, both of which gained about 28% this year. On Holding is Thursd On Holding has formed a three-weeks-tight pattern after rallying on earnings. Shares look set to extend a 115% gain.",2024-12-13,0.9485
2024-12-12 16:32:14+00:00,"Today in Apple history: Apple IPO mints instant millionaires December 12, 1980: Apple goes public, floating 4.6 million shares on the stock market at $22 per share. The Apple IPO is the biggest tech public offering of its day, and more than 40 out of 1,000 App On December 12, 1980, Apple went public, floating 4.6 million shares of stock at $22 per share. The Apple IPO makes some rich, others mad.
(via Cult of Mac - Apple news, rumors, reviews and how-tos)",2024-12-13,0.802
2024-12-12 16:32:14+00:00,"Today in Apple history: Apple IPO mints instant millionaires December 12, 1980: Apple goes public, floating 4.6 million shares on the stock market at $22 per share. The Apple IPO becomes the biggest tech public offering of its day. And more than 40 out of 1,00 On December 12, 1980, Apple went public, floating 4.6 million shares of stock at $22 per share. The Apple IPO makes some rich, others mad.
(via Cult of Mac - Apple news, rumors, reviews and how-tos)",2024-12-13,0.802
2024-12-13 13:06:12+00:00,"United Airlines integrates Apple’s new share item location feature for AirTag https://www.tipranks.com/news/the-fly/united-airlines-integrates-apples-new-share-item-location-feature-for-airtag
United (UAL) announces the integration of Apples (AAPL) new Share Item Location fea United (UAL) announces the integration of Apple’s (AAPL) new Share Item Location feature for AirTag into its mobile app, a move that’s expected to drive a...",2024-12-13,0.9186
